tag,n,exact_pct,near_pct,drift_pct,fail_pct,avg_tie,avg_conf
CONFIDENCE_SELF,1086,76.3,9.9,8,5.8,2.9,68
ACADEMIC_COGNITIVE,840,72,11.5,7.4,9,3.1,68
COMMUNICATION_EXPRESSION,822,71.5,10.3,8.3,9.9,2.6,67
MOTIVATION_VALUES,774,75.7,3.4,12.9,8,4.2,68
EXAMINATION_STRESS,714,58.5,8,23.5,9.9,5.2,65
LIFESTYLE_PRESSURE,696,81.5,4,7.9,6.6,1.8,69
DISCIPLINE_HABITS,618,69.3,15,6.5,9.2,4.3,68
EMOTIONAL_REGULATION,576,78.1,13.2,8.2,0.5,2.2,67
THINKING_QUALITY,552,73.9,13,6.7,6.3,2.4,68
ACADEMIC_IDENTITY,522,78.5,8.8,8,4.6,3.1,69
SOCIAL_EMOTIONAL,486,66.3,10.3,13.8,9.7,2.6,66
LEADERSHIP_OWNERSHIP,480,86.7,5.2,5.4,2.7,2.3,69
CAREER_READINESS,432,81.9,4.6,6.9,6.5,1.7,68
EXAMINATION_READINESS,324,67.9,13,13.3,5.9,2.5,67
COMPETENCY_DEVELOPMENT,312,84.9,3.5,11.5,0,1.4,68
EMOTIONAL_RECOVERY,312,79.8,8.3,11.9,0,2.2,68
HOLISTIC_DEVELOPMENT,276,77.9,20.7,0.4,1.1,1.7,71
EMPLOYABILITY,276,75.7,9.4,8.7,6.2,2.3,68
WORKPLACE_ADAPTATION,276,74.6,5.4,13,6.9,1.7,67
COLLABORATION_OWNERSHIP,258,74.4,5.8,12,7.8,2.2,67
ADJUSTMENT_COPING,258,76,1.9,16.3,5.8,3,67
STRATEGIC_PREPARATION,210,87.1,1.4,0,11.4,2,69
CAREER_GROWTH,210,76.2,9.5,12.9,1.4,1.6,67
STRATEGIC_LEADERSHIP,198,94.4,0.5,5.1,0,1.1,70
SELF_REFLECTION,192,73.4,3.6,14.1,8.9,3.2,67
LEARNING_ADAPTABILITY,150,63.3,14.7,19.3,2.7,3.1,66
LEADERSHIP_READINESS,144,78.5,6.9,9,5.6,1.9,67
CLASSROOM_ENGAGEMENT,96,69.8,10.4,10.4,9.4,3.3,68
STEM_LEARNING,96,85.4,5.2,6.3,3.1,1.9,68
FOUNDATIONAL_LEARNING,90,82.2,0,7.8,10,2.4,69
CAREER_TRANSITION,60,88.3,0,6.7,5,1.2,69
WORKPLACE_PERFORMANCE,54,94.4,3.7,1.9,0,1.1,70
INTERDISCIPLINARY_LEARNING,48,66.7,10.4,22.9,0,2.1,67
ADAPTIVE_LEARNING,48,52.1,4.2,33.3,10.4,2.9,64
COMPETITIVE_EXAM,48,77.1,0,10.4,12.5,3.5,66
EMPLOYABILITY_FUTURE,42,83.3,11.9,4.8,0,1.3,69
ACADEMIC_PERFORMANCE,36,44.4,0,30.6,25,4.3,60
INQUIRY_CURIOSITY,30,80,0,20,0,1.5,65
ORGANIZATIONAL_EFFECTIVENESS,24,100,0,0,0,1.5,71
ORGANIZATIONAL_DEVELOPMENT,24,100,0,0,0,1.2,72
ACADEMIC_RISK,24,91.7,0,8.3,0,1.1,69
TRANSITION_CHANGE,24,95.8,0,4.2,0,2.3,71
SELF_DISCOVERY,24,75,4.2,20.8,0,2.8,65
CAREER_IDENTITY,24,54.2,0,45.8,0,2.6,61
SELF_EXPLORATION,24,79.2,0,20.8,0,2.6,65
PERSONAL_DEVELOPMENT,24,79.2,0,20.8,0,1.2,67
OVER_COMPLIANCE,24,95.8,0,4.2,0,1,72
COMPETENCY_INTELLIGENCE,18,94.4,0,5.6,0,1.7,71
FACULTY_DEVELOPMENT,18,72.2,0,11.1,16.7,1.6,69
FACULTY_SUSTAINABILITY,18,100,0,0,0,1,71
FACULTY_EFFECTIVENESS,18,94.4,0,5.6,0,1.1,69
EMOTIONAL_REFLECTION,18,66.7,33.3,0,0,2,65
ACADEMIC_PLANNING,18,88.9,0,11.1,0,1.1,66
ANALYTICAL_DEVELOPMENT,18,100,0,0,0,1.3,67
CAREER_DECISION,18,100,0,0,0,1,72
ACADEMIC_CAREER,18,100,0,0,0,1.1,71
LEADERSHIP_TRANSITION,18,44.4,44.4,11.1,0,2.4,66
PERSONAL_EFFECTIVENESS,18,77.8,0,5.6,16.7,1.5,66
HELP_SEEKING,18,100,0,0,0,1,73
ACADEMIC_TRANSITION,18,66.7,0,33.3,0,1.3,61
EMOTIONAL_DEVELOPMENT,18,38.9,0,61.1,0,3.5,62
STUDENT_ENGAGEMENT,12,100,0,0,0,1,71
LEARNING_QUALITY,12,100,0,0,0,1.4,72
STUDENT_BEHAVIOUR,12,58.3,0,41.7,0,1.6,64
FUTURE_ORIENTATION,12,100,0,0,0,1.5,69
REFLECTIVE_DEVELOPMENT,12,58.3,0,41.7,0,1.8,62
STUDENT_WELLNESS,12,100,0,0,0,1,71
MOTIVATION_MAPPING,12,100,0,0,0,1,67
PRODUCTIVITY_REFLECTION,12,100,0,0,0,1,67
EMPLOYABILITY_DEVELOPMENT,12,75,0,0,25,1.8,68
CAREER_ALIGNMENT,12,100,0,0,0,1,71
CAREER_PREPAREDNESS,12,100,0,0,0,1,69
CAREER_RECOVERY,12,58.3,0,41.7,0,1.8,66
CAREER_SUSTAINABILITY,12,50,0,50,0,1.5,64
ALTERNATIVE_CAREER,12,58.3,0,41.7,0,2.3,61
CAREER_EXECUTION,12,100,0,0,0,1,72
CAREER_PLANNING,12,100,0,0,0,1.3,72
STUDENT_RISK,12,100,0,0,0,1,71
SELF_LEADERSHIP,12,100,0,0,0,1.1,71
SOCIAL_SELF,12,100,0,0,0,1,71
TEACHING_QUALITY,12,100,0,0,0,1,71
TALENT_IDENTIFICATION,12,100,0,0,0,1.5,71
STUDENT_PSYCHOLOGY,12,91.7,0,8.3,0,1.2,68
BEHAVIORAL_STABILITY,12,50,0,50,0,2.5,61
FINANCIAL_READINESS,12,100,0,0,0,1.3,71
ACADEMIC_GROWTH,12,91.7,0,8.3,0,1.1,67
CAREER_BRANDING,12,100,0,0,0,1,72
LONG_TERM,12,75,0,25,0,1.6,67
SELF_LEARNING,12,50,0,50,0,2.8,62
SELF_PERCEPTION,12,75,0,0,25,1.3,65
SELF_IDENTITY,12,100,0,0,0,1,72
ACADEMIC_OPERATIONS,12,100,0,0,0,1,71
LEARNING_REFLECTION,12,58.3,0,41.7,0,1.4,64
EMOTIONAL_MATURITY,12,100,0,0,0,1.1,70
LEADERSHIP_DEVELOPMENT,12,100,0,0,0,1,69
PERSONAL_INSIGHT,12,58.3,0,41.7,0,1.8,59
IDENTITY_FORMATION,12,58.3,0,41.7,0,1.4,60
ACADEMIC_REFLECTION,12,100,0,0,0,1,71
ASSESSMENT_INTELLIGENCE,6,100,0,0,0,1,73
LEARNING_SUSTAINABILITY,6,100,0,0,0,1,72
STUDENT_SUPPORT,6,100,0,0,0,1,70
LEARNING_INTERVENTION,6,100,0,0,0,1,67
SUBJECT_INTERVENTION,6,100,0,0,0,1,71
LEARNING_DEPENDENCY,6,100,0,0,0,1,67
CAREER_GUIDANCE,6,100,0,0,0,1,72
PERFORMANCE_BEHAVIOR,6,100,0,0,0,1,71
MULTI_POTENTIALITY,6,100,0,0,0,1,71
GOAL_REFLECTION,6,100,0,0,0,1,71
PERSONAL_EXPANSION,6,100,0,0,0,1,72
SOCIAL_REFLECTION,6,100,0,0,0,1.2,67
STUDENT_SUCCESS,6,100,0,0,0,1,72
PLACEMENT_OPERATIONS,6,100,0,0,0,1,72
LEARNING_PERSISTENCE,6,100,0,0,0,1,67
LEADERSHIP_ACCOUNTABILITY,6,100,0,0,0,3,71
SELF_EXPRESSION,6,100,0,0,0,1,67
INTEGRITY_REFLECTION,6,100,0,0,0,1,71
CAREER_EXPOSURE,6,16.7,0,0,83.3,4.3,65
CAREER_PRIORITIZATION,6,100,0,0,0,1,71
EMOTIONAL_LITERACY,6,50,0,0,50,7,70
CAREER_TRADEOFF,6,100,0,0,0,1,71
REFLECTIVE_SYSTEMS,6,100,0,0,0,1,67
FEEDBACK_ADAPTATION,6,100,0,0,0,2,71
INDEPENDENCE_DEVELOPMENT,6,100,0,0,0,1,73
ENGAGEMENT_BEHAVIOR,6,100,0,0,0,1,71
EXPLORATION_INHIBITION,6,100,0,0,0,1,71
MATURITY_DEVELOPMENT,6,100,0,0,0,1,67
PARENT_SCHOOL,6,100,0,0,0,1,72
FUTURE_CAREER,6,100,0,0,0,1.2,67
CAREER_EXPECTATIONS,6,100,0,0,0,1,71
DECISION_ANXIETY,6,100,0,0,0,2,71
HIGHER_EDUCATION,6,100,0,0,0,1,72
CAREER_SUITABILITY,6,50,0,0,50,1.2,70
WORKFORCE_TRENDS,6,100,0,0,0,1,74
CAREER_ECOSYSTEM,6,100,0,0,0,1,67
VOCATIONAL_GUIDANCE,6,100,0,0,0,1,67
ENTREPRENEURSHIP_GUIDANCE,6,100,0,0,0,1,67
TRANSITION_READINESS,6,100,0,0,0,1,72
STRENGTH_DISCOVERY,6,100,0,0,0,2.7,67
DECISION_CONFIDENCE,6,100,0,0,0,1,74
CAREER_AUTONOMY,6,100,0,0,0,1,73
CAREER_EXPLORATION,6,0,0,50,50,4.7,45
PERSONALITY_ALIGNMENT,6,100,0,0,0,1,73
IDENTITY_REFLECTION,6,100,0,0,0,1,71
WORKPLACE_FIT,6,100,0,0,0,1,73
EMOTIONAL_RESILIENCE,6,16.7,0,83.3,0,1.8,53
LEARNING_SKILLS,6,100,0,0,0,1,67
ADAPTABILITY_GUIDANCE,6,100,0,0,0,2.8,72
STUDY_STRATEGY,6,100,0,0,0,1,71
LEARNING_PSYCHOLOGY,6,100,0,0,0,1.2,72
GROWTH_REFLECTION,6,100,0,0,0,1.3,71
EMPLOYABILITY_ACADEMIC,6,66.7,0,33.3,0,1.5,59
INTERVENTION_INTELLIGENCE,6,100,0,0,0,1,72
TRANSITION_ADAPTATION,6,100,0,0,0,1,74
CONFIDENCE_DEVELOPMENT,6,100,0,0,0,1,67
OWNERSHIP_ACCOUNTABILITY,6,50,0,16.7,33.3,2.2,63
PERSONAL_LEADERSHIP,6,100,0,0,0,1,71
LEADERSHIP_RECOVERY,6,100,0,0,0,1,71
SKILL_DEVELOPMENT,6,100,0,0,0,1,71
GROWTH_ACCOUNTABILITY,6,0,0,100,0,3,57
SOCIAL_LEADERSHIP,6,33.3,0,66.7,0,2.3,55
ASPIRATIONAL_CLARITY,6,100,0,0,0,1,72
LIFE_READINESS,6,50,0,0,50,1.2,62
COLLEGE_ADAPTATION,6,100,0,0,0,1,71
ACADEMIC_EQUITY,6,100,0,0,0,1,72
STAKEHOLDER_ALIGNMENT,6,100,0,0,0,1,72
INNOVATION_ENTREPRENEURSHIP,6,83.3,0,16.7,0,1.2,66
SOCIAL_DEVELOPMENT,6,100,0,0,0,1.5,69
INTELLECTUAL_GROWTH,6,100,0,0,0,1,67
DIGITAL_RESPONSIBILITY,6,100,0,0,0,1,71
SELF_AWARENESS,6,100,0,0,0,1,67
PERSONAL_BRANDING,6,100,0,0,0,1,67
PERSONALITY_EXPLORATION,6,100,0,0,0,1,67
TALENT_DISCOVERY,6,100,0,0,0,1,67
PURPOSE_DISCOVERY,6,100,0,0,0,1.8,67
COGNITIVE_MAPPING,6,100,0,0,0,1,71
EMOTIONAL_SELF,6,100,0,0,0,1.2,67
POTENTIAL_DISCOVERY,6,100,0,0,0,1,67
PERFORMANCE_REFLECTION,6,100,0,0,0,1,71
FUTURE_LEARNING,6,100,0,0,0,1,71
REFLECTIVE_LEARNING,6,100,0,0,0,1,71
BEHAVIORAL_GROWTH,6,100,0,0,0,1,72
ACCOUNTABILITY_REFLECTION,6,100,0,0,0,1,67
PLACEMENT_RISK,6,100,0,0,0,1,73
CAREER_COMPETITION,6,100,0,0,0,3,71
LIFESTYLE_ADJUSTMENT,6,100,0,0,0,1,68
COGNITIVE_DEVELOPMENT,6,100,0,0,0,2,67
CAREER_FLEXIBILITY,6,100,0,0,0,1.2,72
LEADERSHIP_INFLUENCE,6,100,0,0,0,1,72
STUDENT_RECOVERY,6,100,0,0,0,1.2,72
TEAM_MANAGEMENT,6,100,0,0,0,1,68
PERSONAL_DECISION,6,0,0,66.7,33.3,9.2,57
COGNITIVE_AWARENESS,6,100,0,0,0,1,71
ADAPTIVE_DIAGNOSTICS,6,50,0,50,0,3,67
SOCIAL_LEARNING,6,33.3,0,0,66.7,6.2,59
CAREER_PSYCHOLOGY,6,100,0,0,0,1,72
GROWTH_MINDSET,6,0,0,66.7,33.3,8.8,49
DECISION_INDEPENDENCE,6,100,0,0,0,1,71
GENERAL_CONCERN,6,100,0,0,0,1,64
COGNITIVE_EMOTIONAL,6,100,0,0,0,1,71
HABIT_DEVELOPMENT,6,100,0,0,0,1.2,67
PERSONAL_GROWTH,6,83.3,0,16.7,0,1.2,68
PERSEVERANCE_COACHING,6,100,0,0,0,1,67
LEARNING_BEHAVIOR,6,100,0,0,0,1.8,69
LIFESTYLE_ADAPTATION,6,100,0,0,0,1,71
VALUES_EXPLORATION,6,100,0,0,0,1,67
SELF_PROGRESS,6,100,0,0,0,1,71
SELF_EVALUATION,6,100,0,0,0,1,67
BALANCED_REFLECTION,6,100,0,0,0,1,71
ACADEMIC_COUNSELLING,6,100,0,0,0,1,72
COGNITIVE_SELF,6,100,0,0,0,1,67
METACOGNITION_SELF,6,100,0,0,0,1,72
ASPIRATIONAL_DEVELOPMENT,6,16.7,0,83.3,0,2.8,58
GROWTH_ORIENTATION,6,50,0,0,50,2.2,70
PERSONAL_POSITIONING,6,100,0,0,0,1,71
PROFESSIONAL_LEADERSHIP,6,100,0,0,0,1,73
COMMUNICATION_LEADERSHIP,6,100,0,0,0,1,72
COMPETITIVE_ADAPTATION,6,100,0,0,0,1,71
ACADEMIC_DECISION,6,100,0,0,0,1,71
CAREER_ACADEMIC,6,0,0,100,0,5.7,56
INSTRUCTIONAL_QUALITY,6,100,0,0,0,1,70
STUDENT_WELLBEING,6,100,0,0,0,1,71
PERFORMANCE_ANALYSIS,6,0,0,100,0,2,61
EXAM_READINESS,6,83.3,0,16.7,0,1.2,69
ADAPTABILITY_COACHING,6,0,0,100,0,3,52
PERFORMANCE_RESILIENCE,6,16.7,0,83.3,0,3.7,50
ACADEMIC_BEHAVIOR,6,0,0,83.3,16.7,22.7,42
COMMUNICATION_BEHAVIOR,6,100,0,0,0,1,71
STUDENT_LEADERSHIP,6,0,0,100,0,1,56
TEAM_LEADERSHIP,6,83.3,0,16.7,0,1.2,65
LEADERSHIP_ENDURANCE,6,83.3,0,16.7,0,1.2,70
ADAPTIVE_LEADERSHIP,6,50,0,50,0,1.7,66
INCLUSIVE_LEADERSHIP,6,100,0,0,0,1,71
ENTREPRENEURIAL_LEADERSHIP,6,100,0,0,0,1,67
LEARNING_AWARENESS,6,100,0,0,0,1,67
METACOGNITIVE_DEVELOPMENT,6,16.7,0,83.3,0,4.3,53
SELF_MOTIVATION,6,100,0,0,0,1,71
LEARNING_OPTIMIZATION,6,100,0,0,0,1,71
EXPLORATORY_LEARNING,6,50,0,0,50,1,70
TEAM_LEARNING,6,100,0,0,0,1,71
GROWTH_PERSISTENCE,6,0,0,100,0,3.2,57
DIGITAL_LEARNING,6,66.7,0,33.3,0,3,60
DECISION_COACHING,6,66.7,0,33.3,0,1.5,60
LEARNING_MINDSET,6,50,0,0,50,1.3,70
CAREER_REFLECTION,6,0,0,100,0,2,58
COGNITIVE_REFLECTION,6,100,0,0,0,1,73
CLASSROOM_ADAPTATION,6,0,100,0,0,4,63
EMOTIONAL_IDENTITY,6,100,0,0,0,1,71
SELF_OBSERVATION,6,100,0,0,0,2,67
CAREER_TIMELINE,6,100,0,0,0,1,72
SUBJECT_ANXIETY,6,100,0,0,0,1,67
FUTURE_WORKFORCE,6,83.3,0,16.7,0,1.2,65
GROWTH_MENTORING,6,100,0,0,0,1,71
CHARACTER_DEVELOPMENT,6,100,0,0,0,1,71
EMOTIONAL_WELLBEING,6,0,0,100,0,3.3,43
STUDENT_REGULATION,6,100,0,0,0,1,73
PSYCHOLOGICAL_ADAPTATION,6,0,0,50,50,13.7,46
LEADERSHIP_DYNAMICS,6,100,0,0,0,1,74
VALUES_BASED,6,100,0,0,0,1,67
IDENTITY_CONFIDENCE,6,100,0,0,0,1,71
ADAPTIVE_DEVELOPMENT,6,16.7,0,83.3,0,3,52
BEHAVIORAL_AWARENESS,6,0,100,0,0,2,57
SELF_MANAGEMENT,6,100,0,0,0,1,73
RECOVERY_CAPABILITY,6,16.7,0,83.3,0,4,58
GOAL_ALIGNMENT,6,100,0,0,0,1,67
CAREER_RISK,6,100,0,0,0,1,72
COGNITIVE_WELLNESS,6,83.3,0,16.7,0,1.2,65
EMOTIONAL_LEARNING,6,100,0,0,0,1,71
SELF_REGULATION,6,100,0,0,0,1,72
SELF_ACCEPTANCE,6,100,0,0,0,1,67
GROWTH_RECOGNITION,6,100,0,0,0,1,71
GROWTH_MEASUREMENT,6,100,0,0,0,1,66
SOCIAL_CAPABILITY,6,100,0,0,0,1,68
EMOTIONAL_RESPONSE,6,100,0,0,0,2,71
LIFESTYLE_CAREER,6,50,0,0,50,1,62
RESPONSIBILITY_DEVELOPMENT,6,100,0,0,0,1,67
IDENTITY_EXPRESSION,6,100,0,0,0,1,72
SELF_GROWTH,6,50,0,0,50,1.2,70
ADAPTIVE_GROWTH,6,100,0,0,0,1,74
PURPOSE_REFLECTION,6,100,0,0,0,1,72
BEHAVIORAL_REGULATION,6,100,0,0,0,1,72
CAREER_MAPPING,6,50,0,50,0,1.5,64
PRODUCTIVITY_COACHING,6,0,0,33.3,66.7,37.8,50
GROWTH_BEHAVIOR,6,100,0,0,0,1,67
BEHAVIOR_CORRECTION,6,100,0,0,0,1,71
EXECUTIVE_COMMUNICATION,6,0,0,100,0,2,55
BEHAVIORAL_REFLECTION,6,16.7,0,83.3,0,3.5,42
IDENTITY_INTEGRATION,6,100,0,0,0,1,71
GROWTH_MAPPING,6,16.7,0,83.3,0,1.8,44
SELF_WORTH,6,50,0,0,50,1.2,62
ACCOUNTABILITY_DEVELOPMENT,6,0,0,100,0,3,57
PERSONAL_SUSTAINABILITY,6,0,0,100,0,3.8,50
PERSONAL_IDENTITY,6,0,0,100,0,2,56
SELF_DIAGNOSTIC,6,100,0,0,0,1,67
ATTENTION_REFLECTION,6,100,0,0,0,1,67
GROWTH_TRACKING,6,100,0,0,0,1,67
MOTIVATION_PSYCHOLOGY,6,83.3,0,16.7,0,1.2,69
PERSONAL_VISION,6,100,0,0,0,1,71
EMOTIONAL_LEADERSHIP,6,100,0,0,0,1.2,72
RECOVERY_ORIENTATION,6,0,16.7,83.3,0,4.2,57
FUTURE_SELF,6,100,0,0,0,1,71
ADAPTIVE_REFLECTION,6,100,0,0,0,1,72
LEADERSHIP_MATURITY,6,100,0,0,0,1,66
CAREER_STABILITY,6,100,0,0,0,1,71
ENGAGEMENT_MANAGEMENT,6,0,0,16.7,83.3,68,43
ACADEMIC_READINESS,6,100,0,0,0,1,73
COMMUNICATION_DEVELOPMENT,6,100,0,0,0,1,71
COGNITIVE_SKILLS,6,0,0,66.7,33.3,13.2,54
STUDENT_BALANCE,6,83.3,0,16.7,0,1.2,63
INNOVATION_READINESS,6,0,0,50,50,6.5,53
PERFORMANCE_COACHING,6,100,0,0,0,1,71
SELF_DEVELOPMENT,6,16.7,0,83.3,0,4.2,52
CAPABILITY_DEVELOPMENT,6,0,0,100,0,2.3,50
MOTIVATION_DEVELOPMENT,6,100,0,0,0,1,71
RECOVERY_BEHAVIOR,6,16.7,0,83.3,0,1.8,49
DECISION_LEADERSHIP,6,16.7,0,83.3,0,3.8,47
LEARNING_EFFECTIVENESS,6,100,0,0,0,1,72
LANGUAGE_DEVELOPMENT,6,100,0,0,0,1,67
WORKPLACE_READINESS,6,100,0,0,0,1,73
IDENTITY_CONFLICT,6,100,0,0,0,1,72
CONFIDENCE_BUILDING,6,100,0,0,0,1,72
INCLUSION_LEADERSHIP,6,100,0,0,0,1,71
ORGANIZATIONAL_INTELLIGENCE,6,100,0,0,0,1,72
STUDENT_DEVELOPMENT,6,100,0,0,0,1,67
PERSISTENCE_DEVELOPMENT,6,100,0,0,0,1,67
LEADERSHIP_FOUNDATIONS,6,83.3,0,16.7,0,1.2,67
PERSONALITY_CAREER,6,50,0,50,0,1.5,60
CAREER_DEVELOPMENT,6,100,0,0,0,1,71
PURPOSE_ALIGNMENT,6,100,0,0,0,1,71