question_id,concern_id,bridge_tag,question_persona_signal,signal_hits,concern_persona,concern_persona_group,question_text
Q_INST_001_007,INST_001,INSTRUCTIONAL_QUALITY,professional,2,Academic Operations Leadership,edu,How often do thoughts about unstable job markets distract you from your studies or work?
Q_WORKPOL_001_005,WORKPOL_001,EXAMINATION_STRESS,professional,2,Parent,edu,"If you entered a politically complex workplace tomorrow, how confident are you that you could remain emotionally stable and focused on your work?"
Q_PRESS_001_001,PRESS_001,EXAMINATION_STRESS,professional,2,Parent,edu,How realistic do you feel workplace deadlines are in todays industry?
Q_PRESS_001_004,PRESS_001,EXAMINATION_STRESS,professional,2,Parent,edu,Do you feel deadlines in college prepare you for real workplace speed?
Q_STRESS_001_001_v5,STRESS_001,EXAMINATION_STRESS,professional,2,Parent,edu,"When a deadline is approaching, how in control do you feel of your work and time?"
Q_STRESS_001_019_v5,STRESS_001,EXAMINATION_STRESS,professional,2,Parent,edu,"When deadlines are tight, how often do you feel anxious even before starting the work?"
Q_STRESS_001_024_v5,STRESS_001,EXAMINATION_STRESS,professional,2,Parent,edu,How confident are you that you can handle upcoming academic or work deadlines effectively?
Q_STRESS_001_004_v6,STRESS_001,EXAMINATION_STRESS,professional,2,Parent,edu,How often do you delay starting work even when deadlines are close?
Q_STRESS_001_006_v6,STRESS_001,EXAMINATION_STRESS,professional,2,Parent,edu,How physically drained do you feel after completing work under tight deadlines?
Q_STRESS_001_025_v6,STRESS_001,EXAMINATION_STRESS,professional,2,Parent,edu,"After experiencing deadline pressure, how confident are you about handling future deadlines better?"