intent,target_id,target_tag,resolved_id,resolved_tag,klass,tie,matched,nTok,score
i have trouble with confidence,CONCERN_CON_1735,CONFIDENCE_SELF,,,failure,444,1,2,50
i struggle with discipline,CONCERN_ADJ_1749,DISCIPLINE_HABITS,,,failure,310,1,2,50
i struggle with motivation,CONCERN_EXA_1743,MOTIVATION_VALUES,,,failure,310,1,2,50
i have trouble with discipline,CONCERN_ADJ_1749,DISCIPLINE_HABITS,,,failure,298,1,2,50
i have trouble with motivation,CONCERN_EXA_1743,MOTIVATION_VALUES,,,failure,298,1,2,50
i have trouble with emotional regulation,CONCERN_DIS_1780,EXAMINATION_STRESS,CONCERN_ACA_1019,EMOTIONAL_REGULATION,drift,219,2,3,67
i keep struggling with interest in studies,CONCERN_STU_1353,ENGAGEMENT_MANAGEMENT,,,failure,162,1,4,25
i need help with placement pressure,CONCERN_EMP_17,EXAMINATION_STRESS,,,failure,137,2,4,50
i have trouble with placement pressure,CONCERN_EMP_17,EXAMINATION_STRESS,CONCERN_ACA_1136,EMOTIONAL_RECOVERY,drift,124,2,3,67
i struggle with interest in studies,CONCERN_STU_1353,ENGAGEMENT_MANAGEMENT,,,failure,119,1,3,33
i have trouble with interest in studies,CONCERN_STU_1353,ENGAGEMENT_MANAGEMENT,,,failure,107,1,3,33
i cannot manage curiosity,CONCERN_CON_1795,MOTIVATION_VALUES,,,failure,92,1,3,33
i struggle with focus & attention,CONCERN_LIF_1733,ACADEMIC_COGNITIVE,CONCERN_ACA_1348,LEARNING_INTERVENTION,drift,91,2,3,67
i have trouble with focus & attention,CONCERN_LIF_1733,ACADEMIC_COGNITIVE,CONCERN_ACA_1348,LEARNING_INTERVENTION,drift,91,2,3,67
i keep struggling with focus & attention,CONCERN_LIF_1733,ACADEMIC_COGNITIVE,,,failure,91,2,4,50
i keep struggling with accountability,CONCERN_ADJ_1810,MOTIVATION_VALUES,,,failure,87,1,3,33
i keep struggling with distractions,CONCERN_SEL_1416,PRODUCTIVITY_COACHING,,,failure,83,1,3,33
i need help with leadership confidence,CONCERN_SOC_1846,LEADERSHIP_OWNERSHIP,,,failure,76,2,4,50
i need help with curiosity,CONCERN_CON_1795,MOTIVATION_VALUES,,,failure,75,1,3,33
i keep struggling with resilience,CONCERN_EXA_1755,EXAMINATION_STRESS,,,failure,75,1,3,33
i cannot manage purpose,CONCERN_EXA_1821,ACADEMIC_IDENTITY,,,failure,74,1,3,33
i need help with accountability,CONCERN_ADJ_1810,MOTIVATION_VALUES,,,failure,73,1,3,33
i cannot manage managing larger responsibilities,CONCERN_COM_596,CONFIDENCE_SELF,,,failure,73,2,5,40
i struggle with leadership confidence,CONCERN_SOC_1846,LEADERSHIP_OWNERSHIP,CONCERN_ACA_490,COMMUNICATION_EXPRESSION,drift,73,2,3,67
i struggle with academic pressure,CONCERN_ACA_1731,EXAMINATION_STRESS,CONCERN_ACA_1650,ACADEMIC_COGNITIVE,drift,72,2,3,67
i struggle with academic pressure,CONCERN_EXA_1667,EXAMINATION_STRESS,CONCERN_ACA_1650,ACADEMIC_COGNITIVE,drift,72,2,3,67
i struggle with academic pressure,CONCERN_MOT_1964,EXAMINATION_STRESS,CONCERN_ACA_1650,ACADEMIC_COGNITIVE,drift,72,2,3,67
i keep struggling with purpose,CONCERN_EXA_1821,ACADEMIC_IDENTITY,,,failure,71,1,3,33
i have trouble with leadership confidence,CONCERN_SOC_1846,LEADERSHIP_OWNERSHIP,CONCERN_ACA_490,COMMUNICATION_EXPRESSION,drift,70,2,3,67
i need help with distractions,CONCERN_SEL_1416,PRODUCTIVITY_COACHING,,,failure,69,1,3,33
i cannot manage self-awareness,CONCERN_EXA_1826,SELF_REFLECTION,,,failure,68,1,3,33
i keep struggling with self-awareness,CONCERN_EXA_1826,SELF_REFLECTION,,,failure,65,1,3,33
i cannot manage procrastination,CONCERN_MOT_1744,DISCIPLINE_HABITS,,,failure,64,1,3,33
academic pressure,CONCERN_ACA_1731,EXAMINATION_STRESS,CONCERN_ACA_1698,ACADEMIC_COGNITIVE,drift,63,2,2,100
i have trouble with academic pressure,CONCERN_ACA_1731,EXAMINATION_STRESS,CONCERN_ACA_1698,ACADEMIC_COGNITIVE,drift,63,2,3,67
i keep struggling with self-discipline,CONCERN_DIS_1943,DISCIPLINE_HABITS,,,failure,63,1,3,33
i cannot manage work-life boundaries,CONCERN_EMO_605,LIFESTYLE_PRESSURE,,,failure,63,1,4,25
i have trouble with academic pressure,CONCERN_EXA_1667,EXAMINATION_STRESS,CONCERN_ACA_1698,ACADEMIC_COGNITIVE,drift,63,2,3,67
i have trouble with academic pressure,CONCERN_MOT_1964,EXAMINATION_STRESS,CONCERN_ACA_1698,ACADEMIC_COGNITIVE,drift,63,2,3,67
i need help with resilience,CONCERN_EXA_1755,EXAMINATION_STRESS,,,failure,61,1,3,33
i keep struggling with procrastination,CONCERN_MOT_1744,DISCIPLINE_HABITS,,,failure,61,1,3,33
i cannot manage loneliness,CONCERN_SOC_1757,ADJUSTMENT_COPING,,,failure,61,1,3,33
i keep struggling with work-life boundaries,CONCERN_EMO_605,LIFESTYLE_PRESSURE,,,failure,60,1,4,25
i cannot manage gratitude,CONCERN_EXA_1856,MOTIVATION_VALUES,,,failure,59,1,3,33
i keep struggling with loneliness,CONCERN_SOC_1757,ADJUSTMENT_COPING,,,failure,58,1,3,33
i keep struggling with academic focus,CONCERN_ACA_1931,ACADEMIC_COGNITIVE,,,failure,57,2,4,50
i keep struggling with academic focus,CONCERN_PUR_1647,ACADEMIC_COGNITIVE,,,failure,57,2,4,50
i keep struggling with gratitude,CONCERN_EXA_1856,MOTIVATION_VALUES,,,failure,56,1,3,33
i struggle with academic focus,CONCERN_ACA_1931,ACADEMIC_COGNITIVE,CONCERN_ACA_146,ACADEMIC_COGNITIVE,near,52,2,3,67
i struggle with academic focus,CONCERN_PUR_1647,ACADEMIC_COGNITIVE,CONCERN_ACA_146,ACADEMIC_COGNITIVE,near,52,2,3,67
i cannot manage academic focus,CONCERN_ACA_1931,ACADEMIC_COGNITIVE,,,failure,51,2,4,50
i need help with self-awareness,CONCERN_EXA_1826,SELF_REFLECTION,,,failure,51,1,3,33
i cannot manage academic focus,CONCERN_PUR_1647,ACADEMIC_COGNITIVE,,,failure,51,2,4,50
i need help with self-discipline,CONCERN_DIS_1943,DISCIPLINE_HABITS,,,failure,49,1,3,33
i cannot manage career awareness,CONCERN_EXA_1833,ACADEMIC_IDENTITY,,,failure,49,2,4,50
i cannot manage career awareness,CONCERN_THI_1966,ACADEMIC_IDENTITY,,,failure,49,2,4,50
i cannot manage comparison stress,CONCERN_LIF_1753,CONFIDENCE_SELF,,,failure,47,2,4,50
i need help with procrastination,CONCERN_MOT_1744,DISCIPLINE_HABITS,,,failure,47,1,3,33
i struggle with curiosity,CONCERN_CON_1795,MOTIVATION_VALUES,,,failure,46,1,2,50
i need help with work-life boundaries,CONCERN_EMO_605,LIFESTYLE_PRESSURE,,,failure,46,1,4,25
i cannot manage academic confidence,CONCERN_THI_1652,CONFIDENCE_SELF,,,failure,46,2,4,50
i have trouble with academic focus,CONCERN_ACA_1931,ACADEMIC_COGNITIVE,CONCERN_ACA_146,ACADEMIC_COGNITIVE,near,45,2,3,67
i keep struggling with career confusion,CONCERN_CON_1736,ACADEMIC_IDENTITY,,,failure,45,2,4,50
i keep struggling with emotional exhaustion,CONCERN_EXA_1825,EXAMINATION_STRESS,,,failure,45,2,4,50
i have trouble with academic focus,CONCERN_PUR_1647,ACADEMIC_COGNITIVE,CONCERN_ACA_146,ACADEMIC_COGNITIVE,near,45,2,3,67
i struggle with accountability,CONCERN_ADJ_1810,MOTIVATION_VALUES,,,failure,44,1,2,50
i need help with loneliness,CONCERN_SOC_1757,ADJUSTMENT_COPING,,,failure,44,1,3,33
i cannot manage workplace networking,CONCERN_CAR_390,SOCIAL_EMOTIONAL,,,failure,43,2,4,50
i keep struggling with study discipline,CONCERN_DIS_1660,DISCIPLINE_HABITS,,,failure,43,2,4,50
i keep struggling with study motivation,CONCERN_DIS_1985,MOTIVATION_VALUES,,,failure,43,2,4,50
i keep struggling with study motivation,CONCERN_DIS_2473,MOTIVATION_VALUES,,,failure,43,2,4,50
i need help with emotional exhaustion,CONCERN_EXA_1825,EXAMINATION_STRESS,,,failure,43,2,4,50
i keep struggling with study discipline,CONCERN_LEA_1438,ACADEMIC_BEHAVIOR,,,failure,43,2,4,50
i need help with gratitude,CONCERN_EXA_1856,MOTIVATION_VALUES,,,failure,42,1,3,33
i keep struggling with managing professional responsibilities,CONCERN_ADJ_392,CONFIDENCE_SELF,,,failure,40,2,5,40
i struggle with study discipline,CONCERN_DIS_1660,DISCIPLINE_HABITS,CONCERN_ACA_1869,MOTIVATION_VALUES,drift,40,2,3,67
i have trouble with study discipline,CONCERN_DIS_1660,DISCIPLINE_HABITS,CONCERN_ACA_1869,MOTIVATION_VALUES,drift,40,2,3,67
i struggle with study motivation,CONCERN_DIS_1985,MOTIVATION_VALUES,CONCERN_ACA_1869,MOTIVATION_VALUES,near,40,2,3,67
i have trouble with study motivation,CONCERN_DIS_1985,MOTIVATION_VALUES,CONCERN_ACA_1869,MOTIVATION_VALUES,near,40,2,3,67
i struggle with study motivation,CONCERN_DIS_2473,MOTIVATION_VALUES,CONCERN_ACA_1869,MOTIVATION_VALUES,near,40,2,3,67
i have trouble with study motivation,CONCERN_DIS_2473,MOTIVATION_VALUES,CONCERN_ACA_1869,MOTIVATION_VALUES,near,40,2,3,67
i struggle with emotional exhaustion,CONCERN_EXA_1825,EXAMINATION_STRESS,CONCERN_ACA_1019,EMOTIONAL_REGULATION,drift,40,2,3,67
i keep struggling with career awareness,CONCERN_EXA_1833,ACADEMIC_IDENTITY,,,failure,40,2,4,50
i struggle with study discipline,CONCERN_LEA_1438,ACADEMIC_BEHAVIOR,CONCERN_ACA_1869,MOTIVATION_VALUES,drift,40,2,3,67
i have trouble with study discipline,CONCERN_LEA_1438,ACADEMIC_BEHAVIOR,CONCERN_ACA_1869,MOTIVATION_VALUES,drift,40,2,3,67
i struggle with distractions,CONCERN_SEL_1416,PRODUCTIVITY_COACHING,,,failure,40,1,2,50
i keep struggling with career awareness,CONCERN_THI_1966,ACADEMIC_IDENTITY,,,failure,40,2,4,50
i struggle with career confusion,CONCERN_CON_1736,ACADEMIC_IDENTITY,CONCERN_ACA_231,EXAMINATION_STRESS,drift,38,2,3,67
i need help with career confusion,CONCERN_CON_1736,ACADEMIC_IDENTITY,,,failure,38,2,4,50
i need help with peer pressure,CONCERN_DIS_1745,SOCIAL_EMOTIONAL,,,failure,38,2,4,50
weak emotional regulation,CONCERN_DIS_1780,EXAMINATION_STRESS,CONCERN_ACA_1062,EMOTIONAL_REGULATION,drift,38,3,3,100
i keep struggling with peer pressure,CONCERN_DIS_1745,SOCIAL_EMOTIONAL,,,failure,36,2,4,50
emotional exhaustion,CONCERN_EXA_1825,EXAMINATION_STRESS,CONCERN_ACA_1019,EMOTIONAL_REGULATION,drift,36,2,2,100
i have trouble with emotional exhaustion,CONCERN_EXA_1825,EXAMINATION_STRESS,CONCERN_ACA_1019,EMOTIONAL_REGULATION,drift,36,2,3,67
comparison stress,CONCERN_LIF_1753,CONFIDENCE_SELF,CONCERN_ACA_1731,EXAMINATION_STRESS,drift,36,2,2,100
i have trouble with comparison stress,CONCERN_LIF_1753,CONFIDENCE_SELF,CONCERN_ACA_1731,EXAMINATION_STRESS,drift,36,2,3,67
lack of discipline,CONCERN_ADJ_1749,DISCIPLINE_HABITS,CONCERN_ACA_1687,MOTIVATION_VALUES,drift,35,2,2,100
i cannot manage workplace collaboration,CONCERN_CAR_380,COLLABORATION_OWNERSHIP,,,failure,35,2,4,50
career confusion,CONCERN_CON_1736,ACADEMIC_IDENTITY,CONCERN_ACA_231,EXAMINATION_STRESS,drift,35,2,2,100
i have trouble with career confusion,CONCERN_CON_1736,ACADEMIC_IDENTITY,CONCERN_ACA_231,EXAMINATION_STRESS,drift,35,2,3,67