question_id,concern_id,response_type,reasons,question_text
Q_OUTCOME_001_002,OUTCOME_001,frequency,frequency scale but options not frequency-worded,"After receiving disappointing results, how long do negative emotions usually stay with you?"
Q_CAREER_001_008_v2,CAREER_001,frequency,frequency scale but options not frequency-worded,How much time do you spend thinking about what career should I choose without reaching a conclusion?
Q_TIME_001_001_v2,TIME_001,frequency,frequency scale but options not frequency-worded,"Before exams, how well do you plan your study schedule in advance?"
Q_PROB_001_014,PROB_001,frequency,frequency scale but options not frequency-worded,How likely are you to ask for help immediately instead of attempting to understand the problem first?
Q_RES_001_001,RES_001,frequency,frequency scale but options not frequency-worded,"After facing a setback, how quickly are you able to regain your motivation?"
Q_RES_001_002,RES_001,frequency,frequency scale but options not frequency-worded,"When something goes wrong, how long do you usually stay upset about it?"
Q_RES_001_019,RES_001,likelihood,option scores not monotonic with anchors,"After failure, how likely are you to seek help or guidance?"
Q_RES_001_010_v2,RES_001,frequency,frequency scale but options not frequency-worded,"After failure, how long do you stay demotivated?"
Q_RES_001_010_v3,RES_001,frequency,frequency scale but options not frequency-worded,"After failure, how long do you stay demotivated?"
Q_ACAD_001_010_v3,ACAD_001,frequency,frequency scale but options not frequency-worded,"After a bad exam result, how quickly do you emotionally recover?"
Q_INT_001_003_v2,INT_001,frequency,frequency scale but options not frequency-worded,"When interviews are approaching, how quickly do you start preparing seriously?"
Q_INT_001_024_v2,INT_001,frequency,frequency scale but options not frequency-worded,How consistent are you in maintaining a daily study streak?
Q_REJ_001_011_v2,REJ_001,frequency,frequency scale but options not frequency-worded,"After rejection, how quickly do you return to preparing again?"
Q_UNCERT_001_018_v2,UNCERT_001,agreement,response_type=agreement but <2 options,"When uncertain, do you take small steps forward or freeze completely?"
Q_ADAPT_001_011_v2,ADAPT_001,frequency,frequency scale but options not frequency-worded,"When a new tool becomes industry standard, how quickly do you try to learn it?"
Q_DISC_001_001_v2,DISC_001,frequency,frequency scale but options not frequency-worded,"When no one is monitoring you, how consistent are you in following your study/work plans?"
Q_SLEEP_001_001,SLEEP_001,frequency,frequency scale but options not frequency-worded,"During exam or placement preparation, how consistent is your sleep schedule?"
Q_RECALL_001_020,RECALL_001,frequency,response_type=frequency but <2 options; no score gradation (all option scores identical),How
Q_HEALTH_001_001,HEALTH_001,frequency,frequency scale but options not frequency-worded,"During intense preparation periods, how well are you able to maintain your physical health?"
Q_HEALTH_001_019,HEALTH_001,frequency,frequency scale but options not frequency-worded,"After resting, how quickly do you feel physically and mentally refreshed?"
Q_PERF_001_015,PERF_001,frequency,frequency scale but options not frequency-worded,"After a poor performance, how quickly are you able to restart your preparation normally?"
Q_MOT_001_001_v6,MOT_001,frequency,frequency scale but options not frequency-worded,"After a strong motivation phase drops suddenly, how quickly do you usually lose your study or work consistency?"
Q_DECISION_001_011_v4,DECISION_001,frequency,frequency scale but options not frequency-worded,"After a wrong decision, how quickly do you take action again instead of delaying?"
Q_FRUST_001_023,FRUST_001,frequency,frequency scale but options not frequency-worded,"After frustration, how quickly do you regain focus?"
Q_LFAIL_001_002,LFAIL_001,frequency,frequency scale but options not frequency-worded,"When you fail in a test or task, how quickly does your confidence recover?"
Q_LEARN_001_025_v3,LEARN_001,confidence,option scores not monotonic with anchors,How hopeful are you that you can build strong long-term learning stamina?
Q_MOT_001_011_v7,MOT_001,frequency,frequency scale but options not frequency-worded,"After a delay, how quickly do you return to a structured study routine?"
Q_ENERGY_001_001_v2,ENERGY_001,frequency,frequency scale but options not frequency-worded,How consistent is your energy level throughout your academic or career-related tasks in a typical week?
Q_LEAD_001_011_v2,LEAD_001,frequency,frequency scale but options not frequency-worded,"When a crisis begins, how quickly are you able to take decisive action?"
Q_ENT_001_012_v2,ENT_001,frequency,response_type=frequency but <2 options; no score gradation (all option scores identical),How often do you replay past mistakes