intent,target_id,target_label,before_class,resolved_id,confidence,short_intent
"i cannot manage competitive awareness",CONCERN_CON_2003,"Competitive Awareness",failure,CONCERN_CON_2003,41,false
"i need help with competitive awareness",CONCERN_CON_2003,"Competitive Awareness",failure,CONCERN_CON_2003,38,false
"i keep struggling with interdisciplinary questions",CONCERN_CON_2039,"Interdisciplinary Questions",failure,CONCERN_CON_2039,37,false
"i cannot manage interdisciplinary questions",CONCERN_CON_2039,"Interdisciplinary Questions",failure,CONCERN_CON_2039,44,false
"i need help with interdisciplinary questions",CONCERN_CON_2039,"Interdisciplinary Questions",failure,CONCERN_CON_2039,35,false
"i keep struggling with awareness of workplace ethics and boundaries",CONCERN_CON_412,"Awareness of Workplace Ethics and Boundaries",failure,CONCERN_CON_412,37,false
"i cannot manage awareness of workplace ethics and boundaries",CONCERN_CON_412,"Awareness of Workplace Ethics and Boundaries",failure,CONCERN_CON_412,37,false
"i need help with awareness of workplace ethics and boundaries",CONCERN_CON_412,"Awareness of Workplace Ethics and Boundaries",failure,CONCERN_CON_412,37,false
"i have trouble with understanding professional boundaries",CONCERN_CON_439,"Understanding Professional Boundaries",failure,CONCERN_CON_439,27,false
"i cannot manage networking confidence for job opportunities",CONCERN_CON_472,"Networking Confidence for Job Opportunities",failure,CONCERN_CON_472,28,false
"i need help with networking confidence for job opportunities",CONCERN_CON_472,"Networking Confidence for Job Opportunities",failure,CONCERN_CON_472,28,false
"i keep struggling with awareness of emerging career opportunities",CONCERN_CON_516,"Awareness of Emerging Career Opportunities",failure,CONCERN_CON_516,31,false
"i cannot manage awareness of emerging career opportunities",CONCERN_CON_516,"Awareness of Emerging Career Opportunities",failure,CONCERN_CON_516,31,false
"i need help with awareness of emerging career opportunities",CONCERN_CON_516,"Awareness of Emerging Career Opportunities",failure,CONCERN_CON_516,31,false
"i keep struggling with awareness of corporate etiquette and boundaries",CONCERN_CON_674,"Awareness of Corporate Etiquette and Boundaries",failure,CONCERN_CON_674,39,false
"i cannot manage awareness of corporate etiquette and boundaries",CONCERN_CON_674,"Awareness of Corporate Etiquette and Boundaries",failure,CONCERN_CON_674,39,false
"i need help with awareness of corporate etiquette and boundaries",CONCERN_CON_674,"Awareness of Corporate Etiquette and Boundaries",failure,CONCERN_CON_674,39,false
"i keep struggling with transitioning into adulthood responsibilities",CONCERN_DIG_1434,"transitioning into adulthood responsibilities",failure,CONCERN_DIG_1434,44,false
"i cannot manage transitioning into adulthood responsibilities",CONCERN_DIG_1434,"transitioning into adulthood responsibilities",failure,CONCERN_DIG_1434,37,false
"i need help with transitioning into adulthood responsibilities",CONCERN_DIG_1434,"transitioning into adulthood responsibilities",failure,CONCERN_DIG_1434,42,false
"i need help with time management",CONCERN_DIS_1659,"Time Management",failure,CONCERN_DIS_1659,31,false
"i keep struggling with eating habits",CONCERN_DIS_1750,"Eating Habits",failure,CONCERN_DIS_1750,33,false
"i cannot manage eating habits",CONCERN_DIS_1750,"Eating Habits",failure,CONCERN_DIS_1750,33,false
"i need help with eating habits",CONCERN_DIS_1750,"Eating Habits",failure,CONCERN_DIS_1750,33,false
"i keep struggling with tuition dependency",CONCERN_DIS_1762,"Tuition Dependency",failure,CONCERN_DIS_1762,31,false
"i keep struggling with subject-wise strengths",CONCERN_DIS_178,"Subject-Wise Strengths",failure,CONCERN_DIS_178,45,false
"i cannot manage subject-wise strengths",CONCERN_DIS_178,"Subject-Wise Strengths",failure,CONCERN_DIS_178,45,false
"i need help with subject-wise strengths",CONCERN_DIS_178,"Subject-Wise Strengths",failure,CONCERN_DIS_178,45,false
"i struggle with self-discipline",CONCERN_DIS_1943,"Self-Discipline",failure,CONCERN_CAR_256,37,true
"i have trouble with self-discipline",CONCERN_DIS_1943,"Self-Discipline",failure,CONCERN_DIS_1943,34,true
"i keep struggling with self-discipline",CONCERN_DIS_1943,"Self-Discipline",failure,CONCERN_DIS_1943,28,true
"i need help with self-discipline",CONCERN_DIS_1943,"Self-Discipline",failure,CONCERN_DIS_1943,28,true
"i keep struggling with initiative in learning",CONCERN_DIS_1945,"Initiative in Learning",failure,CONCERN_ACA_1687,29,false
"i cannot manage initiative in learning",CONCERN_DIS_1945,"Initiative in Learning",failure,CONCERN_ACA_1687,29,false
"i keep struggling with balancing academic and co-curricular activities",CONCERN_DIS_1990,"Balancing Academic and Co-Curricular Activities",failure,CONCERN_DIS_1990,30,false
"i cannot manage balancing academic and co-curricular activities",CONCERN_DIS_1990,"Balancing Academic and Co-Curricular Activities",failure,CONCERN_DIS_1990,30,false
"i need help with balancing academic and co-curricular activities",CONCERN_DIS_1990,"Balancing Academic and Co-Curricular Activities",failure,CONCERN_DIS_1990,30,false
"i keep struggling with oral responses",CONCERN_DIS_1996,"Oral Responses",failure,CONCERN_DIS_1996,35,false
"i cannot manage oral responses",CONCERN_DIS_1996,"Oral Responses",failure,CONCERN_DIS_1996,35,false
"i need help with oral responses",CONCERN_DIS_1996,"Oral Responses",failure,CONCERN_DIS_1996,35,false
"i keep struggling with revision consistency",CONCERN_DIS_2406,"Revision Consistency",failure,CONCERN_DIS_2406,29,false
"i keep struggling with balancing academic and co-curricular activities",CONCERN_DIS_2478,"Balancing Academic and Co-Curricular Activities",failure,CONCERN_DIS_1990,30,false
"i cannot manage balancing academic and co-curricular activities",CONCERN_DIS_2478,"Balancing Academic and Co-Curricular Activities",failure,CONCERN_DIS_1990,30,false
"i need help with balancing academic and co-curricular activities",CONCERN_DIS_2478,"Balancing Academic and Co-Curricular Activities",failure,CONCERN_DIS_1990,30,false
"i keep struggling with oral responses",CONCERN_DIS_2484,"Oral Responses",failure,CONCERN_DIS_1996,35,false
"i cannot manage oral responses",CONCERN_DIS_2484,"Oral Responses",failure,CONCERN_DIS_1996,35,false
"i need help with oral responses",CONCERN_DIS_2484,"Oral Responses",failure,CONCERN_DIS_1996,35,false
"i keep struggling with joining competitive learning communities",CONCERN_DIS_306,"Joining Competitive Learning Communities",failure,CONCERN_DIS_306,33,false
"i cannot manage joining competitive learning communities",CONCERN_DIS_306,"Joining Competitive Learning Communities",failure,CONCERN_DIS_306,33,false
"i need help with joining competitive learning communities",CONCERN_DIS_306,"Joining Competitive Learning Communities",failure,CONCERN_DIS_306,33,false
"i keep struggling with technical interviews",CONCERN_DIS_48,"Technical Interviews",failure,CONCERN_DIS_48,32,false
"i need help with technical interviews",CONCERN_DIS_48,"Technical Interviews",failure,CONCERN_DIS_48,32,false
"i keep struggling with executive communication",CONCERN_EMO_1066,"Executive Communication",failure,CONCERN_EMO_1066,32,false
"i cannot manage executive communication",CONCERN_EMO_1066,"Executive Communication",failure,CONCERN_EMO_1066,32,false
"i need help with executive communication",CONCERN_EMO_1066,"Executive Communication",failure,CONCERN_EMO_1066,32,false
"i keep struggling with cross-functional collaboration",CONCERN_EMO_1074,"Cross-Functional Collaboration",failure,CONCERN_EMO_1074,34,false
"i cannot manage cross-functional collaboration",CONCERN_EMO_1074,"Cross-Functional Collaboration",failure,CONCERN_EMO_1074,34,false
"i need help with cross-functional collaboration",CONCERN_EMO_1074,"Cross-Functional Collaboration",failure,CONCERN_EMO_1074,34,false
"i keep struggling with initiative-taking behavior",CONCERN_EMO_1472,"initiative-taking behavior",failure,CONCERN_EMO_1472,42,false
"i cannot manage initiative-taking behavior",CONCERN_EMO_1472,"initiative-taking behavior",failure,CONCERN_EMO_1472,40,false
"i need help with initiative-taking behavior",CONCERN_EMO_1472,"initiative-taking behavior",failure,CONCERN_EMO_1472,48,false
"i struggle with awareness of industry-relevant competencies",CONCERN_EMO_274,"Awareness of Industry-Relevant Competencies",failure,CONCERN_EMO_274,32,false
"i have trouble with awareness of industry-relevant competencies",CONCERN_EMO_274,"Awareness of Industry-Relevant Competencies",failure,CONCERN_EMO_274,32,false
"i keep struggling with awareness of industry-relevant competencies",CONCERN_EMO_274,"Awareness of Industry-Relevant Competencies",failure,CONCERN_EMO_274,29,false
"i cannot manage awareness of industry-relevant competencies",CONCERN_EMO_274,"Awareness of Industry-Relevant Competencies",failure,CONCERN_EMO_274,29,false
"i need help with awareness of industry-relevant competencies",CONCERN_EMO_274,"Awareness of Industry-Relevant Competencies",failure,CONCERN_EMO_274,29,false
"i cannot manage group discussions",CONCERN_EMO_366,"Group Discussions",failure,CONCERN_EMO_366,31,false
"i need help with group discussions",CONCERN_EMO_366,"Group Discussions",failure,CONCERN_EMO_366,31,false
"i keep struggling with salary negotiation",CONCERN_EMO_376,"Salary Negotiation",failure,CONCERN_EMO_376,34,false
"i cannot manage salary negotiation",CONCERN_EMO_376,"Salary Negotiation",failure,CONCERN_EMO_376,34,false
"i need help with salary negotiation",CONCERN_EMO_376,"Salary Negotiation",failure,CONCERN_EMO_376,34,false
"i keep struggling with cross-functional collaboration",CONCERN_EMO_424,"Cross-Functional Collaboration",failure,CONCERN_EMO_1074,34,false
"i cannot manage cross-functional collaboration",CONCERN_EMO_424,"Cross-Functional Collaboration",failure,CONCERN_EMO_1074,34,false
"i need help with cross-functional collaboration",CONCERN_EMO_424,"Cross-Functional Collaboration",failure,CONCERN_EMO_1074,34,false
"i keep struggling with awareness of professional growth opportunities",CONCERN_EMO_436,"Awareness of Professional Growth Opportunities",failure,CONCERN_EMO_436,35,false
"i cannot manage awareness of professional growth opportunities",CONCERN_EMO_436,"Awareness of Professional Growth Opportunities",failure,CONCERN_EMO_436,33,false
"i need help with awareness of professional growth opportunities",CONCERN_EMO_436,"Awareness of Professional Growth Opportunities",failure,CONCERN_EMO_436,32,false
"i struggle with applying for international opportunities",CONCERN_EMO_524,"Applying for International Opportunities",failure,CONCERN_EMO_524,46,false
"i have trouble with applying for international opportunities",CONCERN_EMO_524,"Applying for International Opportunities",failure,CONCERN_EMO_524,50,false
"i keep struggling with applying for international opportunities",CONCERN_EMO_524,"Applying for International Opportunities",failure,CONCERN_EMO_524,46,false
"i cannot manage applying for international opportunities",CONCERN_EMO_524,"Applying for International Opportunities",failure,CONCERN_EMO_524,37,false
"i need help with applying for international opportunities",CONCERN_EMO_524,"Applying for International Opportunities",failure,CONCERN_EMO_524,45,false
"i struggle with prioritize competing responsibilities",CONCERN_EMO_564,"Prioritize Competing Responsibilities",failure,CONCERN_EMO_564,40,false
"i have trouble with prioritize competing responsibilities",CONCERN_EMO_564,"Prioritize Competing Responsibilities",failure,CONCERN_EMO_564,40,false
"i keep struggling with prioritize competing responsibilities",CONCERN_EMO_564,"Prioritize Competing Responsibilities",failure,CONCERN_EMO_564,34,false
"i cannot manage prioritize competing responsibilities",CONCERN_EMO_564,"Prioritize Competing Responsibilities",failure,CONCERN_EMO_564,36,false
"i struggle with work-life boundaries",CONCERN_EMO_605,"Work-Life Boundaries",failure,CONCERN_CAR_256,31,true
"i have trouble with work-life boundaries",CONCERN_EMO_605,"Work-Life Boundaries",failure,CONCERN_EMO_605,29,true
"i keep struggling with work-life boundaries",CONCERN_EMO_605,"Work-Life Boundaries",failure,CONCERN_EMO_605,26,false
"i cannot manage work-life boundaries",CONCERN_EMO_605,"Work-Life Boundaries",failure,CONCERN_EMO_605,26,false
"i need help with work-life boundaries",CONCERN_EMO_605,"Work-Life Boundaries",failure,CONCERN_EMO_605,26,false
"i struggle with negotiating workload boundaries",CONCERN_EMO_714,"Negotiating Workload Boundaries",failure,CONCERN_EMO_714,46,false
"i have trouble with negotiating workload boundaries",CONCERN_EMO_714,"Negotiating Workload Boundaries",failure,CONCERN_EMO_714,47,false
"i keep struggling with negotiating workload boundaries",CONCERN_EMO_714,"Negotiating Workload Boundaries",failure,CONCERN_EMO_714,43,false
"i cannot manage negotiating workload boundaries",CONCERN_EMO_714,"Negotiating Workload Boundaries",failure,CONCERN_EMO_714,43,false
"i need help with negotiating workload boundaries",CONCERN_EMO_714,"Negotiating Workload Boundaries",failure,CONCERN_EMO_714,43,false
"i keep struggling with cross-team collaboration",CONCERN_EMO_734,"Cross-Team Collaboration",failure,CONCERN_EMO_734,43,false
"i cannot manage cross-team collaboration",CONCERN_EMO_734,"Cross-Team Collaboration",failure,CONCERN_EMO_734,42,false
"i need help with cross-team collaboration",CONCERN_EMO_734,"Cross-Team Collaboration",failure,CONCERN_EMO_734,49,false
"i keep struggling with delegate strategically",CONCERN_EMO_764,"Delegate Strategically",failure,CONCERN_EMO_764,41,false
"i need help with delegate strategically",CONCERN_EMO_764,"Delegate Strategically",failure,CONCERN_EMO_764,46,false
"i struggle with handling enterprise-wide responsibilities",CONCERN_EMO_824,"Handling Enterprise-Wide Responsibilities",failure,CONCERN_EMO_824,35,false
"i have trouble with handling enterprise-wide responsibilities",CONCERN_EMO_824,"Handling Enterprise-Wide Responsibilities",failure,CONCERN_EMO_824,39,false
"i keep struggling with handling enterprise-wide responsibilities",CONCERN_EMO_824,"Handling Enterprise-Wide Responsibilities",failure,CONCERN_EMO_824,32,false
"i cannot manage handling enterprise-wide responsibilities",CONCERN_EMO_824,"Handling Enterprise-Wide Responsibilities",failure,CONCERN_EMO_824,29,false
"i need help with handling enterprise-wide responsibilities",CONCERN_EMO_824,"Handling Enterprise-Wide Responsibilities",failure,CONCERN_EMO_824,30,false
"i keep struggling with navigating new industry hierarchies",CONCERN_EMO_984,"Navigating New Industry Hierarchies",failure,CONCERN_EMO_984,35,false
"i cannot manage navigating new industry hierarchies",CONCERN_EMO_984,"Navigating New Industry Hierarchies",failure,CONCERN_EMO_984,38,false
"i need help with navigating new industry hierarchies",CONCERN_EMO_984,"Navigating New Industry Hierarchies",failure,CONCERN_EMO_984,32,false
"i keep struggling with choosing between higher studies and employment",CONCERN_EMP_255,"Choosing Between Higher Studies and Employment",failure,CONCERN_EMP_255,35,false
"i cannot manage choosing between higher studies and employment",CONCERN_EMP_255,"Choosing Between Higher Studies and Employment",failure,CONCERN_EMP_255,42,false
"i need help with choosing between higher studies and employment",CONCERN_EMP_255,"Choosing Between Higher Studies and Employment",failure,CONCERN_EMP_255,42,false
"i keep struggling with prioritize career opportunities strategically",CONCERN_EMP_398,"Prioritize Career Opportunities Strategically",failure,CONCERN_EMP_398,33,false
"i cannot manage prioritize career opportunities strategically",CONCERN_EMP_398,"Prioritize Career Opportunities Strategically",failure,CONCERN_EMP_398,36,false
"i need help with prioritize career opportunities strategically",CONCERN_EMP_398,"Prioritize Career Opportunities Strategically",failure,CONCERN_EMP_398,41,false
"i keep struggling with job interviews",CONCERN_EMP_462,"Job Interviews",failure,CONCERN_EMP_462,31,false
"i keep struggling with classroom participation",CONCERN_EXA_1668,"Classroom Participation",failure,CONCERN_COM_1955,32,false
"i cannot manage classroom participation",CONCERN_EXA_1668,"Classroom Participation",failure,CONCERN_COM_1955,32,false
"i need help with classroom participation",CONCERN_EXA_1668,"Classroom Participation",failure,CONCERN_COM_1955,32,false
"i keep struggling with presentation skills",CONCERN_EXA_1683,"Presentation Skills",failure,CONCERN_COM_1954,29,false
"i cannot manage presentation skills",CONCERN_EXA_1683,"Presentation Skills",failure,CONCERN_COM_1954,29,false
"i keep struggling with academic endurance",CONCERN_EXA_1715,"Academic Endurance",failure,CONCERN_EXA_1715,31,false
"i cannot manage academic endurance",CONCERN_EXA_1715,"Academic Endurance",failure,CONCERN_EXA_1715,31,false
"i need help with academic endurance",CONCERN_EXA_1715,"Academic Endurance",failure,CONCERN_EXA_1715,31,false
"i keep struggling with screen addiction",CONCERN_EXA_1732,"Screen Addiction",failure,CONCERN_EXA_1732,35,false
"i cannot manage screen addiction",CONCERN_EXA_1732,"Screen Addiction",failure,CONCERN_EXA_1732,35,false
"i need help with screen addiction",CONCERN_EXA_1732,"Screen Addiction",failure,CONCERN_EXA_1732,35,false
"i struggle with motivation",CONCERN_EXA_1743,"Motivation",failure,CONCERN_CAR_256,37,true
"i have trouble with motivation",CONCERN_EXA_1743,"Motivation",failure,CONCERN_EXA_1743,30,true
"i keep struggling with anger & irritability",CONCERN_EXA_1747,"Anger & Irritability",failure,CONCERN_EXA_1747,51,false
"i cannot manage anger & irritability",CONCERN_EXA_1747,"Anger & Irritability",failure,CONCERN_EXA_1747,51,false
"i need help with anger & irritability",CONCERN_EXA_1747,"Anger & Irritability",failure,CONCERN_EXA_1747,51,false
"i keep struggling with social isolation",CONCERN_EXA_1748,"Social Isolation",failure,CONCERN_EXA_1748,29,false
"i cannot manage social isolation",CONCERN_EXA_1748,"Social Isolation",failure,CONCERN_EXA_1748,29,false
"i struggle with resilience",CONCERN_EXA_1755,"Resilience",failure,CONCERN_CAR_256,37,true
"i have trouble with resilience",CONCERN_EXA_1755,"Resilience",failure,CONCERN_EXA_1755,32,true
"i keep struggling with resilience",CONCERN_EXA_1755,"Resilience",failure,CONCERN_EXA_1755,26,true
"i need help with resilience",CONCERN_EXA_1755,"Resilience",failure,CONCERN_CON_1777,28,true
"i keep struggling with purpose & direction",CONCERN_EXA_1760,"Purpose & Direction",failure,CONCERN_EXA_1760,32,false
"i cannot manage purpose & direction",CONCERN_EXA_1760,"Purpose & Direction",failure,CONCERN_EXA_1760,32,false
"i keep struggling with study burnout",CONCERN_EXA_1764,"Study Burnout",failure,CONCERN_EXA_1764,29,false
"i keep struggling with fear of judgement",CONCERN_EXA_1781,"Fear of Judgement",failure,CONCERN_EXA_1781,30,false
"i cannot manage fear of judgement",CONCERN_EXA_1781,"Fear of Judgement",failure,CONCERN_EXA_1781,30,false
"i cannot manage group discussions",CONCERN_EXA_18,"Group Discussions",failure,CONCERN_EMO_366,31,false
"i need help with group discussions",CONCERN_EXA_18,"Group Discussions",failure,CONCERN_EMO_366,31,false
"i keep struggling with emotional over-sensitivity",CONCERN_EXA_1803,"Emotional Over-Sensitivity",failure,CONCERN_EXA_1803,42,false
"i cannot manage emotional over-sensitivity",CONCERN_EXA_1803,"Emotional Over-Sensitivity",failure,CONCERN_EXA_1803,40,false
"i need help with emotional over-sensitivity",CONCERN_EXA_1803,"Emotional Over-Sensitivity",failure,CONCERN_EXA_1803,38,false
"i struggle with purpose",CONCERN_EXA_1821,"Purpose",failure,CONCERN_CAR_256,37,true
"i have trouble with purpose",CONCERN_EXA_1821,"Purpose",failure,CONCERN_EXA_1821,33,true
"i keep struggling with purpose",CONCERN_EXA_1821,"Purpose",failure,CONCERN_EXA_1821,27,true
"i cannot manage purpose",CONCERN_EXA_1821,"Purpose",failure,CONCERN_EXA_1821,27,true
"i keep struggling with constant overthinking",CONCERN_EXA_1824,"Constant Overthinking",failure,CONCERN_EXA_1824,32,false
"i cannot manage constant overthinking",CONCERN_EXA_1824,"Constant Overthinking",failure,CONCERN_EXA_1824,32,false
"i need help with constant overthinking",CONCERN_EXA_1824,"Constant Overthinking",failure,CONCERN_EXA_1824,32,false
"i keep struggling with emotional exhaustion",CONCERN_EXA_1825,"Emotional Exhaustion",failure,CONCERN_EXA_1825,27,false
"i struggle with self-awareness",CONCERN_EXA_1826,"Self-Awareness",failure,CONCERN_CAR_256,37,true
"i have trouble with self-awareness",CONCERN_EXA_1826,"Self-Awareness",failure,CONCERN_EXA_1826,34,true
"i keep struggling with self-awareness",CONCERN_EXA_1826,"Self-Awareness",failure,CONCERN_EXA_1826,28,true
"i cannot manage self-awareness",CONCERN_EXA_1826,"Self-Awareness",failure,CONCERN_EXA_1826,28,true
"i need help with self-awareness",CONCERN_EXA_1826,"Self-Awareness",failure,CONCERN_EXA_1826,28,true
"i struggle with gratitude",CONCERN_EXA_1856,"Gratitude",failure,CONCERN_EXA_1856,40,true
"i have trouble with gratitude",CONCERN_EXA_1856,"Gratitude",failure,CONCERN_EXA_1856,64,true
"i keep struggling with gratitude",CONCERN_EXA_1856,"Gratitude",failure,CONCERN_EXA_1856,44,true
"i cannot manage gratitude",CONCERN_EXA_1856,"Gratitude",failure,CONCERN_EXA_1856,41,true
"i need help with gratitude",CONCERN_EXA_1856,"Gratitude",failure,CONCERN_EXA_1856,38,true
"i keep struggling with goal orientation",CONCERN_EXA_1962,"Goal Orientation",failure,CONCERN_EXA_1962,32,false
"i cannot manage goal orientation",CONCERN_EXA_1962,"Goal Orientation",failure,CONCERN_EXA_1962,32,false
"i need help with goal orientation",CONCERN_EXA_1962,"Goal Orientation",failure,CONCERN_EXA_1962,32,false
"i keep struggling with multiple subjects",CONCERN_EXA_1972,"Multiple Subjects",failure,CONCERN_COM_1684,30,false
"i need help with multiple subjects",CONCERN_EXA_1972,"Multiple Subjects",failure,CONCERN_COM_1684,30,false
"i keep struggling with fast-paced teaching",CONCERN_EXA_1988,"Fast-Paced Teaching",failure,CONCERN_EXA_1988,34,false
"i cannot manage fast-paced teaching",CONCERN_EXA_1988,"Fast-Paced Teaching",failure,CONCERN_EXA_1988,34,false
"i need help with fast-paced teaching",CONCERN_EXA_1988,"Fast-Paced Teaching",failure,CONCERN_EXA_1988,34,false
"i struggle with understanding abstract theories",CONCERN_EXA_2015,"Understanding Abstract Theories",failure,CONCERN_EXA_2015,32,false
"i have trouble with understanding abstract theories",CONCERN_EXA_2015,"Understanding Abstract Theories",failure,CONCERN_EXA_2015,32,false
"i keep struggling with understanding abstract theories",CONCERN_EXA_2015,"Understanding Abstract Theories",failure,CONCERN_EXA_2015,28,false
"i cannot manage understanding abstract theories",CONCERN_EXA_2015,"Understanding Abstract Theories",failure,CONCERN_EXA_2015,28,false
"i need help with understanding abstract theories",CONCERN_EXA_2015,"Understanding Abstract Theories",failure,CONCERN_EXA_2015,28,false
"i keep struggling with self-correction ability",CONCERN_EXA_2018,"Self-Correction Ability",failure,CONCERN_EXA_2018,30,false
"i cannot manage self-correction ability",CONCERN_EXA_2018,"Self-Correction Ability",failure,CONCERN_EXA_2018,30,false
"i need help with self-correction ability",CONCERN_EXA_2018,"Self-Correction Ability",failure,CONCERN_EXA_2018,30,false
"i keep struggling with learning accountability",CONCERN_EXA_2098,"Learning Accountability",failure,CONCERN_EXA_2098,27,false
"i keep struggling with fast-paced teaching",CONCERN_EXA_2476,"Fast-Paced Teaching",failure,CONCERN_EXA_1988,34,false
"i cannot manage fast-paced teaching",CONCERN_EXA_2476,"Fast-Paced Teaching",failure,CONCERN_EXA_1988,34,false
"i need help with fast-paced teaching",CONCERN_EXA_2476,"Fast-Paced Teaching",failure,CONCERN_EXA_1988,34,false
"i keep struggling with internship workloads",CONCERN_EXA_371,"Internship Workloads",failure,CONCERN_EXA_371,45,false
"i cannot manage internship workloads",CONCERN_EXA_371,"Internship Workloads",failure,CONCERN_EXA_371,45,false
"i need help with internship workloads",CONCERN_EXA_371,"Internship Workloads",failure,CONCERN_EXA_371,45,false
"i keep struggling with cross-cultural communication",CONCERN_EXA_90,"Cross-Cultural Communication",failure,CONCERN_EXA_90,33,false
"i cannot manage cross-cultural communication",CONCERN_EXA_90,"Cross-Cultural Communication",failure,CONCERN_EXA_90,33,false
"i need help with cross-cultural communication",CONCERN_EXA_90,"Cross-Cultural Communication",failure,CONCERN_EXA_90,33,false
"i struggle with collaboration in group activities",CONCERN_FEE_1450,"collaboration in group activities",failure,CONCERN_FEE_1450,30,false
"i have trouble with collaboration in group activities",CONCERN_FEE_1450,"collaboration in group activities",failure,CONCERN_FEE_1450,30,false
"i need help with collaboration in group activities",CONCERN_FEE_1450,"collaboration in group activities",failure,CONCERN_FEE_1450,27,false
"i cannot manage problem-solving ability",CONCERN_FOU_1933,"Problem-Solving Ability",failure,CONCERN_FOU_1933,28,false
"i keep struggling with criticism and feedback",CONCERN_FUT_1424,"criticism and feedback",failure,CONCERN_FUT_1424,32,false
"i need help with criticism and feedback",CONCERN_FUT_1424,"criticism and feedback",failure,CONCERN_FUT_1424,32,false
"i keep struggling with overestimating abilities without evidence",CONCERN_GRO_1539,"Overestimating abilities without evidence",failure,CONCERN_GRO_1539,44,false
"i cannot manage overestimating abilities without evidence",CONCERN_GRO_1539,"Overestimating abilities without evidence",failure,CONCERN_GRO_1539,44,false
"i need help with overestimating abilities without evidence",CONCERN_GRO_1539,"Overestimating abilities without evidence",failure,CONCERN_GRO_1539,42,false
"i keep struggling with learning persistence",CONCERN_HOL_2479,"Learning Persistence",failure,CONCERN_ADJ_1991,29,false
"i cannot manage learning persistence",CONCERN_HOL_2479,"Learning Persistence",failure,CONCERN_ADJ_1991,29,false
"i keep struggling with curiosity about self-growth",CONCERN_IDE_1508,"curiosity about self-growth",failure,CONCERN_IDE_1508,34,false
"i cannot manage curiosity about self-growth",CONCERN_IDE_1508,"curiosity about self-growth",failure,CONCERN_IDE_1508,34,false
"i need help with curiosity about self-growth",CONCERN_IDE_1508,"curiosity about self-growth",failure,CONCERN_IDE_1508,34,false
"i keep struggling with teacher adaptability to new pedagogies",CONCERN_LEA_1209,"Teacher Adaptability to New Pedagogies",failure,CONCERN_LEA_1209,30,false
"i cannot manage teacher adaptability to new pedagogies",CONCERN_LEA_1209,"Teacher Adaptability to New Pedagogies",failure,CONCERN_LEA_1209,30,false
"i keep struggling with curiosity-driven self-learning",CONCERN_LEA_1603,"curiosity-driven self-learning",failure,CONCERN_LEA_1603,47,false
"i cannot manage curiosity-driven self-learning",CONCERN_LEA_1603,"curiosity-driven self-learning",failure,CONCERN_LEA_1603,47,false
"i need help with curiosity-driven self-learning",CONCERN_LEA_1603,"curiosity-driven self-learning",failure,CONCERN_LEA_1603,47,false
"i keep struggling with retaining formulae",CONCERN_LEA_1725,"Retaining Formulae",failure,CONCERN_LEA_1725,51,false
"i cannot manage retaining formulae",CONCERN_LEA_1725,"Retaining Formulae",failure,CONCERN_LEA_1725,51,false
"i need help with retaining formulae",CONCERN_LEA_1725,"Retaining Formulae",failure,CONCERN_LEA_1725,51,false
